survey,cy_var,country_var,cc_origin,cc_dict,cc_match,year,year_var,year_dict,wt,archive,surv_program,file_id,subfile,data_link,cb_link,read_ascii_args,link
cisim1990,,Spanish,,,,1990,,,,misc,cis,ECIS1882,,,https://www.cis.es/cis/export/sites/default/-Archivos/Marginales/1880_1899/1882/Ft1882.pdf,,https://analisis.cis.es/aDownloadFile.jsp
cisim1991,,Spanish,,,,1991,,,,misc,cis,ECIS1964,,,https://www.cis.es/cis/export/sites/default/-Archivos/Marginales/1960_1979/1964/Ft1964.pdf,,https://analisis.cis.es/aDownloadFile.jsp
cisim1993,,Spanish,,,,1993,,,,misc,cis,ECIS2051,,,https://www.cis.es/cis/export/sites/default/-Archivos/Marginales/2040_2059/2051/Ft2051.pdf,,https://analisis.cis.es/aDownloadFile.jsp
cisim1995,,Spanish,,,,1995,,,Ponderacion,misc,cis,ECIS2131,,,https://www.cis.es/cis/export/sites/default/-Archivos/Marginales/2120_2139/2131/FT2131.pdf,,https://analisis.cis.es/aDownloadFile.jsp
cisim1996,,Spanish,,,,1996,,,Ponderacion,misc,cis,ECIS2214,,,https://www.cis.es/cis/export/sites/default/-Archivos/Marginales/2200_2219/2214/FT2214.pdf,,https://analisis.cis.es/aDownloadFile.jsp
cisim2008fall,,Spanish,,,,2008,,,Ponderacion,misc,cis,ECIS2773,,,https://www.cis.es/cis/export/sites/default/-Archivos/Marginales/2760_2779/2773/ft2773.pdf,,https://analisis.cis.es/aDownloadFile.jsp
cisim2008winter,,Spanish,,,,2009,,,Ponderacion,misc,cis,ECIS2792,,,https://www.cis.es/cis/export/sites/default/-Archivos/Marginales/2780_2799/2792/Ft2792.pdf,,https://analisis.cis.es/aDownloadFile.jsp
cisim2009,,Spanish,,,,2009,,,Ponderacion,misc,cis,ECIS2817,,,https://www.cis.es/cis/export/sites/default/-Archivos/Marginales/2800_2819/2817/ft2817.pdf,,https://analisis.cis.es/aDownloadFile.jsp
cisim2010,,Spanish,,,,2010,,,Ponderacion,misc,cis,ECIS2846,,,https://www.cis.es/cis/export/sites/default/-Archivos/Marginales/2840_2859/2846/Ft2846.pdf,,https://analisis.cis.es/aDownloadFile.jsp
cisim2011,,Spanish,,,,2011,,,Ponderacion,misc,cis,ECIS2918,,,https://www.cis.es/cis/export/sites/default/-Archivos/Marginales/2900_2919/2918/Ft2918.pdf,,https://analisis.cis.es/aDownloadFile.jsp
