survey,cy_var,country_var,cc_origin,cc_dict,cc_match,year,year_var,year_dict,wt,archive,surv_program,file_id,subfile,data_link,cb_link,read_ascii_args,link
es_ahi2017,,Spain,,,,2017,,,peso,misc,cis,es_ahi2017,,,https://www.cis.es/cis/export/sites/default/-Archivos/Marginales/3160_3179/3161/cues3161.pdf,,
es_ahi2016,,Spain,,,,2016,,,peso,misc,cis,es_ahi2016,,,https://www.cis.es/cis/export/sites/default/-Archivos/Marginales/3100_3119/3119/cues3119.pdf,,
es_ahi2015,,Spain,,,,2015,,,peso,misc,cis,es_ahi2015,,,https://www.cis.es/cis/export/sites/default/-Archivos/Marginales/3100_3119/3119/cues3119.pdf,,
es_ahi2014,,Spain,,,,2014,,,peso,misc,cis,es_ahi2014,,,https://www.cis.es/cis/export/sites/default/-Archivos/Marginales/3000_3019/3019/cues3019.pdf,,
es_ahi2012,,Spain,,,,2012,,,peso,misc,cis,es_ahi2012,,,https://www.cis.es/cis/export/sites/default/-Archivos/Marginales/2960_2979/2967/Cues2967.pdf,,
es_ahi2011,,Spain,,,,2011,,,peso,misc,cis,es_ahi2011,,,https://www.cis.es/cis/export/sites/default/-Archivos/Marginales/2900_2919/2918/cues2918.pdf,,
es_ahi2010,,Spain,,,,2010,,,peso,misc,cis,es_ahi2010,,,https://www.cis.es/cis/export/sites/default/-Archivos/Marginales/2840_2859/2846/cues2846.pdf,,
es_ahi2009,,Spain,,,,2009,,,,misc,cis,es_ahi2009,,,https://www.cis.es/cis/export/sites/default/-Archivos/Marginales/2800_2819/2817/cues2817.pdf,,
es_ahi2008,,Spain,,,,2008,,,,misc,cis,es_ahi2008,,,https://www.cis.es/cis/export/sites/default/-Archivos/Marginales/2760_2779/2773/cues2773.pdf,,
es_ahi1996,,Spain,,,,1996,,,,misc,cis,es_ahi1996,,,https://www.cis.es/cis/export/sites/default/-Archivos/Marginales/2200_2219/2214/cues2214.pdf,,
es_ahi1995,,Spain,,,,1995,,,,misc,cis,es_ahi1995,,,https://www.cis.es/cis/export/sites/default/-Archivos/Marginales/2120_2139/2131/cues2131.pdf,,
es_ahi1993,,Spain,,,,1993,,,,misc,cis,es_ahi1993,,,https://www.cis.es/cis/export/sites/default/-Archivos/Marginales/2040_2059/2051/cues2051.pdf,,
