survey,cy_var,country_var,cc_origin,cc_dict,cc_match,year,year_var,year_dict,wt,archive,surv_program,file_id,subfile,data_link,cb_link,read_ascii_args,link
us_pofps2012,,United States,,,,2012,,,weight1,icpsr,us_pofps,ICPSR_36230,,,,,
us_pofps2015,,United States,,,,2015,,,weight,icpsr,us_pofps,ICPSR_36437,,,,,
us_pofps2016,,United States,,,,2016,,,weight,icpsr,us_pofps,ICPSR_36806,,,,,
us_pofps2017,,United States,,,,2017,,,weight1,icpsr,us_pofps,ICPSR_37970,,,,,
us_pofps1975,,United States,,,,1975,,,,icpsr,us_pofps,ICPSR_05808,,,,,
us_pofps1982,,United States,,,,1982,,,var0004,icpsr,us_pofps,ICPSR_08130,,,,,
us_pofps1986,,United States,,,,1986,,,wgt,icpsr,us_pofps,ICPSR_08712,,,,,
us_pofps1990,,United States,,,,1990,,,v3,icpsr,us_pofps,ICPSR_09564,,,,,
us_pofps1994,,United States,,,,1994,,,weight,icpsr,us_pofps,ICPSR_06561,,,,,
us_pofps1998,,United States,,,,1998,,,gallupwt,icpsr,us_pofps,ICPSR_02747,,,,,
us_pofps2002,,United States,,,,2002,,,wt,icpsr,us_pofps,ICPSR_03673,,,,,
us_pofps1978,,United States,,,,1978,,,,icpsr,us_pofps,ICPSR_07748,,,,,
us_pofps2014,,United States,,,,2014,,,weight1,icpsr,us_pofps,ICPSR_36216,,,,,
us_pofps2004,,United States,,,,2004,,,weight,icpsr,us_pofps,ICPSR_04137,,,,,
us_pofps2008,,United States,,,,2008,,,weight,icpsr,us_pofps,ICPSR_26301,,,,,
us_pofps2010,,United States,,,,2010,,,weight,icpsr,us_pofps,ICPSR_31022,,,,,
mexico_pofps2004,,Mexico,,,,2004,,,,icpsr,us_pofps,ICPSR_04136,,,,,
korea_pofps2004,,Korea,,,,2004,,,,icpsr,us_pofps,ICPSR_04135,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
