survey,cy_var,country_var,cc_origin,cc_dict,cc_match,year,year_var,year_dict,wt,archive,surv_program,file_id,subfile,data_link,cb_link,read_ascii_args,link
fsdeva2018,,Finland,,,,2018,,,paino,misc,fsd,FSD3305,,,https://services.fsd.tuni.fi/catalogue/FSD3305/PIP/cbF3305e.pdf,,https://services.fsd.tuni.fi/catalogue/series/3?tab=studies&lang=en
fsdeva2020fall,,Finland,,,,2020,,,paino,misc,fsd,FSD3494,,,https://services.fsd.tuni.fi/catalogue/FSD3494/PIP/cbF3494e.pdf,,https://services.fsd.tuni.fi/catalogue/series/3?tab=studies&lang=en
fsdeva2020spr,,Finland,,,,2020,,,paino,misc,fsd,FSD3449,,,https://services.fsd.tuni.fi/catalogue/FSD3449/PIP/cbF3449e.pdf,,https://services.fsd.tuni.fi/catalogue/series/3?tab=studies&lang=en
fsdeva2019fall,,Finland,,,,2019,,,paino,misc,fsd,FSD3388,,,https://services.fsd.tuni.fi/catalogue/FSD3388/PIP/cbF3388e.pdf,,https://services.fsd.tuni.fi/catalogue/series/3?tab=studies&lang=en
fsdeva2019win,,Finland,,,,2019,,,paino,misc,fsd,FSD3330,,,https://services.fsd.tuni.fi/catalogue/FSD3330/PIP/cbF3330e.pdf,,https://services.fsd.tuni.fi/catalogue/series/3?tab=studies&lang=en
fsdeva2018win,,Finland,,,,2018,,,paino,misc,fsd,FSD3234,,,https://services.fsd.tuni.fi/catalogue/FSD3234/PIP/cbF3234e.pdf,,https://services.fsd.tuni.fi/catalogue/series/3?tab=studies&lang=en
fsdeva2017,,Finland,,,,2017,,,paino,misc,fsd,FSD3157,,,https://services.fsd.tuni.fi/catalogue/FSD3157/PIP/cbF3157e.pdf,,https://services.fsd.tuni.fi/catalogue/series/3?tab=studies&lang=en
fsdeva2016,,Finland,,,,2016,,,paino,misc,fsd,FSD3093,,,https://services.fsd.tuni.fi/catalogue/FSD3093/PIP/cbF3093e.pdf,,https://services.fsd.tuni.fi/catalogue/series/3?tab=studies&lang=en
fsdeva2015,,Finland,,,,2015,,,paino,misc,fsd,FSD3001,,,https://services.fsd.tuni.fi/catalogue/FSD3001/PIP/cbF3001e.pdf,,https://services.fsd.tuni.fi/catalogue/series/3?tab=studies&lang=en
fsdeva2014,,Finland,,,,2014,,,paino,misc,fsd,FSD2933,,,https://services.fsd.tuni.fi/catalogue/FSD2933/PIP/cbF2933e.pdf,,https://services.fsd.tuni.fi/catalogue/series/3?tab=studies&lang=en
fsdeva2013,,Finland,,,,2013,,,yopaino,misc,fsd,FSD2822,,,,,https://services.fsd.tuni.fi/catalogue/series/3?tab=studies&lang=en
fsdeva2011,,Finland,,,,2011,,,,misc,fsd,FSD2628,,,https://services.fsd.tuni.fi/catalogue/FSD2628/PIP/cbF2628e.pdf,,https://services.fsd.tuni.fi/catalogue/series/3?tab=studies&lang=en
fsdeva2010,,Finland,,,,2010,,,,misc,fsd,FSD2586,,,https://services.fsd.tuni.fi/catalogue/FSD2586/PIP/cbF2586e.pdf,,https://services.fsd.tuni.fi/catalogue/series/3?tab=studies&lang=en
fsdeva2009,,Finland,,,,2009,,,,misc,fsd,FSD2430,,,https://services.fsd.tuni.fi/catalogue/FSD2430/PIP/cbF2430e.pdf,,https://services.fsd.tuni.fi/catalogue/series/3?tab=studies&lang=en
fsdeva2006,,Finland,,,,2006,,,,misc,fsd,FSD2292,,,https://services.fsd.tuni.fi/catalogue/FSD2292/PIP/cbF2292e.pdf,,https://services.fsd.tuni.fi/catalogue/series/3?tab=studies&lang=en
fsdeva2004,,Finland,,,,2004,,,,misc,fsd,FSD2078,,,https://services.fsd.tuni.fi/catalogue/FSD2078/PIP/cbF2078e.pdf,,https://services.fsd.tuni.fi/catalogue/series/3?tab=studies&lang=en
fsdeva2002,,Finland,,,,2002,,,,misc,fsd,FSD1262,,,https://services.fsd.tuni.fi/catalogue/FSD1262/PIP/cbF1262e.pdf,,https://services.fsd.tuni.fi/catalogue/series/3?tab=studies&lang=en
fsdeva1984,,Finland,,,,1984,,,,misc,fsd,FSD1079,,,https://services.fsd.tuni.fi/catalogue/FSD1079/PIP/cbF1079e.pdf,,https://services.fsd.tuni.fi/catalogue/series/3?tab=studies&lang=en
fsdeva1986,,Finland,,,,1986,,,,misc,fsd,FSD1080,,,https://services.fsd.tuni.fi/catalogue/FSD1080/PIP/cbF1080e.pdf,,https://services.fsd.tuni.fi/catalogue/series/3?tab=studies&lang=en
fsdeva1988,,Finland,,,,1988,,,,misc,fsd,FSD1081,,,https://services.fsd.tuni.fi/catalogue/FSD1081/PIP/cbF1081e.pdf,,https://services.fsd.tuni.fi/catalogue/series/3?tab=studies&lang=en
fsdeva2000,,Finland,,,,2000,,,,misc,fsd,FSD1087,,,https://services.fsd.tuni.fi/catalogue/FSD1087/PIP/cbF1087e.pdf,,https://services.fsd.tuni.fi/catalogue/series/3?tab=studies&lang=en
fsdeva1992,,Finland,,,,1992,,,,misc,fsd,"
FSD1083",,,https://services.fsd.tuni.fi/catalogue/FSD1083/PIP/cbF1083e.pdf,,https://services.fsd.tuni.fi/catalogue/series/3?tab=studies&lang=en
