,survey,cy_var,country_var,cc_origin,cc_dict,cc_match,year,year_var,year_dict,wt,archive,surv_program,file_id,subfile,data_link,cb_link,read_ascii_args
1,abcwapo198105,,United States,,,,1981,,,weight,roper,abcwapo,USABCWASH1981-8846,,,,"list(file = file_path, var_names = c(""""q45"""", """"weight""""), var_cards = c(2, 3), var_positions = c(15, 25), var_widths = c(1, 6), total_cards = 3)"
2,abcwapo199406,,United States,,,,1994,,,weight,roper,abcwapo,USABCWASH1994-5294,,,,
3,abcwapo199507,,United States,,,,1995,,,wght,roper,abcwapo,USABCWASH1995-5729,,,,
4,abcwapo199509,,United States,,,,1995,,,wgt,roper,abcwapo,USABC1995-5796,,,,
5,abcwapo199510,,United States,,,,1995,,,wght,roper,abcwapo,USABCWASH1995-5800,,,,
6,abcwapo199607,,United States,,,,1996,,,weight,roper,abcwapo,USABCWASH1996-6143,,,,
7,abcwapo199608,,United States,,,,1996,,,weight,roper,abcwapo,USABCWASH1996-6171,,,,
8,abcwapo199903,,United States,,,,1999,,,weights,roper,abcwapo,USABCWASH1999-10556,,,,
9,abcwapo199908,,United States,,,,1999,,,weight,roper,abcwapo,USABCWASH1999-11350,,,,
10,abcwapo200007,,United States,,,,2000,,,weight,roper,abcwapo,USABCWASH2000-14376,,,,
11,abcwapo200009,,United States,,,,2000,,,weight,roper,abcwapo,USABC2000-15056,,,,
12,abcwapo200101,,United States,,,,2001,,,weight,roper,abcwapo,USABCWASH2001-16647,,,,
13,abcwapo200301,,United States,,,,2003,,,weight,roper,abcwapo,USABCWASH2003-909,,,,
14,abcwapo200401,,United States,,,,2004,,,weight,roper,abcwapo,USABCWASH2004-945,,,,
15,abcwapo200403,,United States,,,,2004,,,weight,roper,abcwapo,USABCWASH2004-951,,,,
16,abcwapo200405,,United States,,,,2004,,,weight,roper,abcwapo,USABCWASH2004-955,,,,
17,abcwapo200412,,United States,,,,2004,,,weight,roper,abcwapo,USABCWASH2004-971,,,,
18,abcwapo200505,,United States,,,,2005,,,oswgt,roper,abcwapo,USABCWASH2005-980,,,,
19,abcwapo200508,,United States,,,,2005,,,weight,roper,abcwapo,USABCWASH2005-989,,,,
20,abcwapo200512,,United States,,,,2005,,,weight,roper,abcwapo,USABCWASH2005-1001,,,,
21,abcwapo200702,,United States,,,,2007,,,weight,roper,abcwapo,USABCWASH2007-1031,,,,
22,abcwapo200707,,United States,,,,2007,,,weight,roper,abcwapo,USABCWASH2007-1041,,,,
23,abcwapo200711,,United States,,,,2007,,,weight,roper,abcwapo,USABCWASH2007-1050,,,,
24,abcwapo200712,,United States,,,,2007,,,weight,roper,abcwapo,USABCWASH2007-1054,,,,
25,abcwapo200801,,United States,,,,2008,,,weight,roper,abcwapo,USABCWASH2008-1057,,,,
26,abcwapo200806,,United States,,,,2008,,,weight,roper,abcwapo,USABCWASH2008-1065,,,,
27,abcwapo200808,,United States,,,,2008,,,finalwt,roper,abcwapo,USABCWASH2008-1068,,,,
28,abcwapo200905,,United States,,,,2009,,,weight,roper,abcwapo,USABCWASH2009-1089,,,,
29,abcwapo200906,,United States,,,,2009,,,weight,roper,abcwapo,USABCWASH2009-1091,,,,
30,abcwapo201002,,United States,,,,2010,,,weight,roper,abcwapo,USABCWASH2010-1102,,,,
31,abcwapo201103,,United States,,,,2011,,,weight,roper,abcwapo,USABCWASH2011-1121,,,,
32,abcwapo201107,,United States,,,,2011,,,weight,roper,abcwapo,USABCWASH2011-1125,,,,
33,abcwapo201201,,United States,,,,2012,,,weight,roper,abcwapo,USABCWASH2012-1133,,,,
34,abcwapo201203,,United States,,,,2012,,,weight,roper,abcwapo,USABCWASH2012-1135,,,,
35,abcwapo201303,,United States,,,,2013,,,weight,roper,abcwapo,USABCWASH2013-1147,,,,
36,abcwapo201307,,United States,,,,2013,,,weight,roper,abcwapo,USABCWASH2013-1150,,,,
37,abcwapo201402,,United States,,,,2014,,,weight,roper,abcwapo,USABCWASH2014-1159,,,,
38,abcwapo201405,,United States,,,,2014,,,weight,roper,abcwapo,USABCWASH2014-1161,,,,
39,afrob1,,country,,,,NA,,"tibble(orig=c(""""Botswana"""",""""Ghana"""",""""Lesotho"""",""""Malawi"""",""""Mali"""",""""Namibia"""",""""Nigeria"""",""""South Africa"""",""""Tanzania"""",""""Uganda"""",""""Zambia"""",""""Zimbabwe""""),year=c(1999,1999,2000,1999,2001,1999,2000,2000,2001,2000,2000,1999))",withinwt,misc,afrob,afrob1,,https://afrobarometer.org/sites/default/files/data/round-1/merged_r1_data.sav,https://afrobarometer.org/sites/default/files/data/round-1/merged_r1_codebook2.pdf,
40,afrob2,,country,,,,NA,dateintr,,withinwt,misc,afrob,afrob2,,https://afrobarometer.org/sites/default/files/data/round-2/merged_r2_data.sav,https://afrobarometer.org/sites/default/files/data/round-2/merged_r2_codebook2.pdf,
41,afrob3,,country,,,,NA,dateintr,,withinwt,misc,afrob,afrob3,,https://afrobarometer.org/sites/default/files/data/round-3/merged_r3_data.sav,https://afrobarometer.org/sites/default/files/data/round-3/merged_r3_codebook2_0.pdf,
42,afrob4,,country,,,,NA,dateintr,,withinwt,misc,afrob,afrob4,,https://afrobarometer.org/sites/default/files/data/round-4/merged_r4_data.sav,https://afrobarometer.org/sites/default/files/data/round-4/merged_r4_codebook3.pdf,
43,afrob5,,country,,,,NA,dateintr,,withinwt,misc,afrob,afrob5,,http://afrobarometer.org/sites/default/files/data/round-5/merged-round-5-data-34-countries-2011-2013-last-update-july-2015.sav,http://afrobarometer.org/sites/default/files/data/round-5/merged_r5_codebook_2.pdf,
44,afrob6,,country,,,,NA,dateintr,,withinwt,misc,afrob,afrob6,,http://afrobarometer.org/sites/default/files/data/round-6/merged_r6_data_2016_36countries2.sav,http://afrobarometer.org/sites/default/files/data/round-6/merged_round_6_codebook_2016_repost042018.pdf,
45,afrob7,,country,,,,NA,dateintr,,withinwt,misc,afrob,afrob7,,http://afrobarometer.org/sites/default/files/data/round-7/r7_merged_data_34ctry.release.sav,,
46,anpas1967,,Australia,,,,1967,,,,dataverse,aes,anpas1967,,https://dataverse.ada.edu.au/dataset.xhtml?persistentId=doi:10.26193/YKNUXT,,
47,anpas1969,,Australia,,,,1969,,,,dataverse,aes,anpas1969,,https://dataverse.ada.edu.au/dataset.xhtml?persistentId=doi:10.26193/OTUJCZ,,
48,anpas1979,,Australia,,,,1979,,,,dataverse,aes,anpas1979,,https://dataverse.ada.edu.au/dataset.xhtml?persistentId=doi:10.26193/AIOCOR,,
49,aes1987,,Australia,,,,1987,,,,dataverse,aes,aes1987,,https://dataverse.ada.edu.au/dataset.xhtml?persistentId=doi:10.4225/87/PQFNYM,,
50,aes1990,,Australia,,,,1990,,,,dataverse,aes,aes1990,,https://dataverse.ada.edu.au/dataset.xhtml?persistentId=doi:10.4225/87/KPVA0F,,
51,aes1993,,Australia,,,,1993,,,weight,dataverse,aes,aes1993,,https://dataverse.ada.edu.au/dataset.xhtml?persistentId=doi:10.4225/87/ZZ3NOB,,
52,aes1996,,Australia,,,,1996,,,,dataverse,aes,aes1996,,https://dataverse.ada.edu.au/dataset.xhtml?persistentId=doi:10.4225/87/NSDHWM,,
53,aes1998,,Australia,,,,1998,,,,dataverse,aes,aes1998,,https://dataverse.ada.edu.au/dataset.xhtml?persistentId=doi:10.4225/87/FFBWUU,,
54,aes2001,,Australia,,,,2001,,,,dataverse,aes,aes2001,,https://dataverse.ada.edu.au/dataset.xhtml?persistentId=doi:10.4225/87/CALXMK,,
55,aes2004,,Australia,,,,2004,,,,dataverse,aes,aes2004,,https://dataverse.ada.edu.au/dataset.xhtml?persistentId=doi:10.4225/87/G9ITIO,,
56,aes2007,,Australia,,,,2007,,,,dataverse,aes,aes2007,,https://dataverse.ada.edu.au/dataset.xhtml?persistentId=doi:10.4225/87/ZBUOW0,,
57,aes2010,,Australia,,,,2010,,,weight2,dataverse,aes,aes2010,,https://dataverse.ada.edu.au/dataset.xhtml?persistentId=doi:10.4225/87/CYJNSM,,
58,aes2013,,Australia,,,,2013,,,weight,dataverse,aes,aes2013,,https://dataverse.ada.edu.au/dataset.xhtml?persistentId=doi:10.4225/87/WDBBAS,,
59,aes2016,,Australia,,,,2016,,,wt_enrol,dataverse,aes,aes2016,,https://dataverse.ada.edu.au/dataset.xhtml?persistentId=doi:10.4225/87/7OZCZA,,
60,allbus,,Germany,,,,NA,year,,wghtptew,gesis,allbus,ZA5276,,,,
61,amb_combo,,pais,,,,NA,year,,wt,misc,amb,amb_combo,,http://datasets.americasbarometer.org/database/files/2004-2018%20LAPOP%20AmericasBaometer%20Merge_FREE_V1.0_W.zip,http://datasets.americasbarometer.org/database/files/2004-2018%20LAPOP%20AmericasBarometer%20Merge_Codebook_v1.0_FREE_W.pdf,
62,amb_antigua2016,,Antigua,,,,2016,,,wt,misc,amb,amb_antigua2016,,http://datasets.americasbarometer.org/database/files/2123276248Antigua%20LAPOP%20AmericasBarometer%202016%20V1.0_W.dta,,
63,amb_argentina2010,,Argentina,,,,2010,,,,misc,amb,amb_argentina2010,,http://datasets.americasbarometer.org/database/files/924077670Argentina_LAPOP_AmericasBarometer%202010%20data%20set%20approved%20v3.dta,,
64,amb_argentina2012,,Argentina,,,,2012,,,wt,misc,amb,amb_argentina2012,,http://datasets.americasbarometer.org/database/files/1240357522Argentina%20LAPOP%20AmericasBarometer%202012%20Rev1_W.dta,,
65,amb_argentina2014,,Argentina,,,,2014,,,wt,misc,amb,amb_argentina2014,,http://datasets.americasbarometer.org/database/files/1757856948Argentina%20LAPOP%20AmericasBarometer%202014%20v3.0_W.dta,,
66,amb_argentina2016,,Argentina,,,,2017,,,wt,misc,amb,amb_argentina2016,,http://datasets.americasbarometer.org/database/files/42076439Argentina%20LAPOP%20AmericasBarometer%202017%20V1.0_W.dta,,
67,amb_argentina2018,,Argentina,,,,2019,,,wt,misc,amb,amb_argentina2018,,http://datasets.americasbarometer.org/database/files/Argentina%20LAPOP%20AmericasBarometer%202019%20v1.0_W.dta,http://datasets.americasbarometer.org/database/files/Argentina%20LAPOP%20AmericasBarometer%202019_Codebook_v1.0_W.pdf,
68,amb_bolivia2010,,Bolivia,,,,2010,,,wt,misc,amb,amb_bolivia2010,,http://datasets.americasbarometer.org/database/files/1748144313Bolivia_LAPOP_AmericasBarometer%202010%20data%20set%20%20approved%20v3.dta,,
69,amb_bolivia2012,,Bolivia,,,,2012,,,wt,misc,amb,amb_bolivia2012,,http://datasets.americasbarometer.org/database/files/1852710534Bolivia%20LAPOP%20AmericasBarometer%202012%20Rev1_W.dta,,
70,amb_bolivia2014,,Bolivia,,,,2014,,,wt,misc,amb,amb_bolivia2014,,http://datasets.americasbarometer.org/database/files/1140434363Bolivia%20LAPOP%20AmericasBarometer%202014%20v3.0_W.dta,,
71,amb_bolivia2016,,Bolivia,,,,2017,,,wt,misc,amb,amb_bolivia2016,,http://datasets.americasbarometer.org/database/files/142790203Bolivia%20LAPOP%20AmericasBarometer%202017%20V1.0_W.dta,,
72,amb_bolivia2018,,Bolivia,,,,2019,,,wt,misc,amb,amb_bolivia2018,,http://datasets.americasbarometer.org/database/files/Bolivia%20LAPOP%20AmericasBarometer%202019%20v1.0_W.dta,,
73,amb_brazil2016,,Brazil,,,,2017,,,wt,misc,amb,amb_brazil2016,,http://datasets.americasbarometer.org/database/files/780314464Brazil%20LAPOP%20AmericasBarometer%202017%20V1.0_W.dta,,
74,amb_brazil2018,,Brazil,,,,2019,,,wt,misc,amb,amb_brazil2018,,http://datasets.americasbarometer.org/database/files/Brazil%20LAPOP%20AmericasBarometer%202019%20v1.0_W.dta,http://datasets.americasbarometer.org/database/files/Brazil%20LAPOP%20AmericasBarometer%202019_Codebook_v1.0_W.pdf,
75,amb_canada2010,,Canada,,,,2010,,,wt,misc,amb,amb_canada2010,,http://datasets.americasbarometer.org/database/files/1183322032Canada_LAPOP_AmericasBarometer%202010%20data%20set%20%20original%20v2.dta,,
76,amb_canada2012,,Canada,,,,2012,,,wt,misc,amb,amb_canada2012,,http://datasets.americasbarometer.org/database/files/1921596816Canada%20LAPOP%20AmericasBarometer%202012%20Rev1_W.dta,,
77,amb_canada2014,,Canada,,,,2014,,,wt,misc,amb,amb_canada2014,,http://datasets.americasbarometer.org/database/files/1490134740Canada%20LAPOP%20AmericasBarometer%202014%20v3.0_W.dta,,
78,amb_canada2016,,Canada,,,,2017,,,wt,misc,amb,amb_canada2016,,http://datasets.americasbarometer.org/database/files/576555173Canada%20LAPOP%20AmericasBarometer%202017%20V1.0_W.dta,,
79,amb_canada2018,,Canada,,,,2019,,,wt,misc,amb,amb_canada2018,,http://datasets.americasbarometer.org/database/files/Canada%20LAPOP%20AmericasBarometer%202019%20v1.0_W.dta,,
80,amb_chile2010,,Chile,,,,2010,,,wt,misc,amb,amb_chile2010,,http://datasets.americasbarometer.org/database/files/1217681709Chile_LAPOP_AmericasBarometer%202010%20data%20set%20approved%20v4.dta,,
81,amb_chile2012,,Chile,,,,2012,,,wt,misc,amb,amb_chile2012,,http://datasets.americasbarometer.org/database/files/420502678Chile%20LAPOP%20AmericasBarometer%202012%20Rev1_W.dta,,
82,amb_chile2014,,Chile,,,,2014,,,wt,misc,amb,amb_chile2014,,http://datasets.americasbarometer.org/database/files/553131127Chile%20LAPOP%20AmericasBarometer%202014%20v3.0_W.dta,,
83,amb_chile2016,,Chile,,,,2017,,,wt,misc,amb,amb_chile2016,,http://datasets.americasbarometer.org/database/files/336280178Chile%20LAPOP%20AmericasBarometer%202017%20V1.0_W.dta,,
84,amb_chile2018,,Chile,,,,2019,,,wt,misc,amb,amb_chile2018,,http://datasets.americasbarometer.org/database/files/Chile%20LAPOP%20AmericasBarometer%202019%20v1.0_W.dta,,
85,amb_colombia2005,,Colombia,,,,2005,,,,misc,amb,amb_colombia2005,,http://datasets.americasbarometer.org/database/files/84187789Colombia2005_Rev1_W.dta,,
86,amb_colombia2007,,Colombia,,,,2007,,,,misc,amb,amb_colombia2007,,http://datasets.americasbarometer.org/database/files/274715745Colombia2007_Rev1_W.dta,,
87,amb_colombia2009,,Colombia,,,,2009,,,,misc,amb,amb_colombia2009,,http://datasets.americasbarometer.org/database/files/754888614Colombia2009_Rev1_W.dta,,
88,amb_colombia2011,,Colombia,,,,2011,,,,misc,amb,amb_colombia2011,,http://datasets.americasbarometer.org/database/files/1329454000Colombia2011_Rev1_W.dta,,
89,amb_colombia2013,,Colombia,,,,2013,,,,misc,amb,amb_colombia2013,,http://datasets.americasbarometer.org/database/files/1734936926Colombia%20LAPOP%202013_W.dta,,
90,amb_colombia2016,,Colombia,,,,2016,,,wt,misc,amb,amb_colombia2016,,http://datasets.americasbarometer.org/database/files/1966987763Colombia%20LAPOP%20AmericasBarometer%202016%20V1.0_W.dta,,
91,amb_colombia2018,,Colombia,,,,2018,,,wt,misc,amb,amb_colombia2018,,http://datasets.americasbarometer.org/database/files/Colombia%20LAPOP%20AmericasBarometer%202018%20v1.0_W.dta,http://datasets.americasbarometer.org/database/files/Colombia%20LAPOP%20AmericasBarometer%202018%20_Codebook_v1.0_W.pdf,
92,amb_costarica2016,,Costa Rica,,,,2016,,,wt,misc,amb,amb_costarica2016,,http://datasets.americasbarometer.org/database/files/1636511905CostaRica%20LAPOP%20AmericasBarometer%202016%20V1.0_W.dta,,
93,amb_costarica2018,,Costa Rica,,,,2018,,,wt,misc,amb,amb_costarica2018,,http://datasets.americasbarometer.org/database/files/CostaRica%20LAPOP%20AmericasBarometer%202018%20v1.0_W.dta,,
94,amb_dominica2016,,Dominica,,,,2016,,,wt,misc,amb,amb_dominica2016,,http://datasets.americasbarometer.org/database/files/534210736Dominica%20LAPOP%20AmericasBarometer%202016%20V1.0_W.dta,,
95,amb_ecuador2014,,Ecuador,,,,2014,,,wt,misc,amb,amb_ecuador2014,,http://datasets.americasbarometer.org/database/files/244461055Ecuador%20LAPOP%20AmericasBarometer%202014%20v3.0_W.dta,,
96,amb_ecuador2016,,Ecuador,,,,2016,,,wt,misc,amb,amb_ecuador2016,,http://datasets.americasbarometer.org/database/files/1061044693Ecuador%20LAPOP%20AmericasBarometer%202016-17%20V1.0_W.dta,,
97,amb_ecuador2018,,Ecuador,,,,2019,,,wt,misc,amb,amb_ecuador2018,,http://datasets.americasbarometer.org/database/files/Ecuador%20LAPOP%20AmericasBarometer%202019%20v1.0_W.dta,http://datasets.americasbarometer.org/database/files/Ecuador%20LAPOP%20AmericasBarometer%202019_Codebook_v1.0_W.pdf,
98,amb_grenada2016,,Grenada,,,,2016,,,wt,misc,amb,amb_grenada2016,,http://datasets.americasbarometer.org/database/files/400479132Grenada%20LAPOP%20AmericasBarometer%202016%20V1.0_W.dta,,
99,amb_guyana2016,,Guyana,,,,2016,,,wt,misc,amb,amb_guyana2016,,http://datasets.americasbarometer.org/database/files/1740874324Guyana%20LAPOP%20AmericasBarometer%202016%20V1.0_W.dta,,
100,amb_panama2016,,Panama,,,,2017,,,wt,misc,amb,amb_panama2016,,http://datasets.americasbarometer.org/database/files/2078678947Panama%20LAPOP%20AmericasBarometer%202017%20V1.0_W.dta,,
101,amb_panama2018,,Panama,,,,2019,,,wt,misc,amb,amb_panama2018,,http://datasets.americasbarometer.org/database/files/Panama%20LAPOP%20AmericasBarometer%202018%20v1.0_W.dta,http://datasets.americasbarometer.org/database/files/Panama%20LAPOP%20AmericasBarometer%202018_Codebook_v1.0_W.pdf,
102,amb_stkittsnevis2016,,St. Kitts & Nevis,,,,2016,,,wt,misc,amb,amb_stkittsnevis2016,,http://datasets.americasbarometer.org/database/files/1597907601StKittsNevis%20LAPOP%20AmericasBarometer%202016%20V1.0_W.dta,,
103,amb_stlucia2016,,St. Lucia,,,,2017,,,wt,misc,amb,amb_stlucia2016,,http://datasets.americasbarometer.org/database/files/1241300571StLucia%20LAPOP%20AmericasBarometer%202016%20V1.0_W.dta,,
104,amb_stvincent2016,,St. Vincent,,,,2016,,,wt,misc,amb,amb_stvincent2016,,http://datasets.americasbarometer.org/database/files/317383160StVincent%20LAPOP%20AmericasBarometer%202016%20V1.0_W.dta,,
105,amb_suriname2010,,Suriname,,,,2010,,,wt,misc,amb,amb_suriname2010,,http://datasets.americasbarometer.org/database/files/132981347Suriname_LAPOP_AmericasBarometer%202010%20data%20set%20%20original%20v1.dta,,
106,amb_suriname2012,,Suriname,,,,2012,,,wt,misc,amb,amb_suriname2012,,http://datasets.americasbarometer.org/database/files/108630764Suriname%20LAPOP%20AmericasBarometer%202012%20Rev1_W.dta,,
107,amb_trinidad2010,,Trinidad & Tobago,,,,2010,,,wt,misc,amb,amb_trinidad2010,,http://datasets.americasbarometer.org/database/files/464873967Trinidad_LAPOP_AmericasBarometer%202010%20data%20set%20%20approved%20V3.dta,,
108,amb_trinidad2012,,Trinidad & Tobago,,,,2012,,,wt,misc,amb,amb_trinidad2012,,http://datasets.americasbarometer.org/database/files/1496679067TrinandTob%20LAPOP%20AmericasBarometer%202012%20Rev1_W.dta,,
109,amb_us2010,,United States,,,,2010,,,wt,misc,amb,amb_us2010,,http://datasets.americasbarometer.org/database/files/1954363083US_LAPOP_AmericasBarometer%202010%20data%20set%20%20original%20V1.dta,http://datasets.americasbarometer.org/database/files/2128470678US%20CODEBOOK.pdf,
110,amb_us2012,,United States,,,,2012,,,wt,misc,amb,amb_us2012,,http://datasets.americasbarometer.org/database/files/241473079UnitedStates%20LAPOP%20AmericasBarometer%202012%20Rev1_W.dta,,
111,amb_us2014,,United States,,,,2014,,,wt,misc,amb,amb_us2014,,http://datasets.americasbarometer.org/database/files/98099043UnitedStates%20LAPOP%20AmericasBarometer%202014%20v3.0_W.dta,,
112,amb_us2016,,United States,,,,2017,,,wt,misc,amb,amb_us2016,,http://datasets.americasbarometer.org/database/files/2133069031United%20States%20LAPOP%20AmericasBarometer%202017%20V1.0_W.dta,,
113,amb_us2018,,United States,,,,2019,,,wt,misc,amb,amb_us2018,,http://datasets.americasbarometer.org/database/files/UnitedStates%20LAPOP%20AmericasBarometer%202019%20v1.0_W.dta,http://datasets.americasbarometer.org/database/files/UnitedStates%20LAPOP%20AmericasBarometer%202019_Codebook_v1.0_W.pdf,
114,amb_uruguay2016,,Uruguay,,,,2017,,,wt,misc,amb,amb_uruguay2016,,http://datasets.americasbarometer.org/database/files/646644681Uruguay%20LAPOP%20AmericasBarometer%202017%20V1.0_W.dta,,
115,amb_uruguay2018,,Uruguay,,,,2019,,,wt,misc,amb,amb_uruguay2018,,http://datasets.americasbarometer.org/database/files/Uruguay%20LAPOP%20AmericasBarometer%202019%20v1.0_W.dta,http://datasets.americasbarometer.org/database/files/Uruguay%20LAPOP%20AmericasBarometer%202019_Codebook_v1.0_W.pdf,
116,amb_venezuela2010,,Venezuela,,,,2010,,,,misc,amb,amb_venezuela2010,,http://datasets.americasbarometer.org/database/files/1451946926Venezuela_LAPOP_AmericasBarometer%202010%20data%20set%20APPROVED%20v3.dta,,
117,amb_venezuela2012,,Venezuela,,,,2012,,,wt,misc,amb,amb_venezuela2012,,http://datasets.americasbarometer.org/database/files/256579462Venezuela%20LAPOP%20AmericasBarometer%202012%20Rev1_W.dta,,
118,amb_venezuela2014,,Venezuela,,,,2014,,,wt,misc,amb,amb_venezuela2014,,http://datasets.americasbarometer.org/database/files/822140976Venezuela%20LAPOP%20AmericasBarometer%202014%20v3.0_W.dta,,
119,amb_venezuela2016,,Venezuela,,,,2016,,,wt,misc,amb,amb_venezuela2016,,http://datasets.americasbarometer.org/database/files/25258094Venezuela%20LAPOP%20AmericasBarometer%202016-17%20V1.0_W.dta,,
120,anes_combo,,United States,,,,NA,vcf0004,,vcf0009x,icpsr,anes,ICPSR_08475,,,,
121,anes2016,,United States,,,,2016,,,v160102,icpsr,anes,ICPSR_36824,,,,
122,angus_reid1995,,Canada,,,,1995,,,wt,roper,angus_reid,CNAREID1995-9504,Social_Issues_Forum,,,
123,ap_us1996,,United States,,,,1996,,,pweight,roper,ap,USAPICR1996-924L,,,,
124,arabb1,,country,,,,NA,,"tibble(orig=c(""""jordan"""",""""palestine"""",""""algeria"""",""""morocco"""",""""lebanon"""",""""yemen"""",""""bahrain""""),year=c(2006,2006,2006,2007,2006,2007,2009))",,misc,arabb,arabb1,,https://www.arabbarometer.org/wp-content/uploads/ABI_English.dta_.zip,https://www.arabbarometer.org/wp-content/uploads/ABI_Questionnaire_ENG.pdf,
125,arabb2,,country,,,,NA,,"tibble(orig=c(""""1. Algeria"""",""""5. Egypt"""",""""7. Iraq"""",""""8. Jordan"""",""""10. Lebanon"""",""""15. Palestine"""",""""17. Saudi Arabia"""",""""19. Sudan"""",""""21. Tunisia"""",""""22. Yemen""""),year=c(2011,2011,2011,2010,2010,2010,2011,2010,2011,2011))",wt,misc,arabb,arabb2,,https://www.arabbarometer.org/wp-content/uploads/ABII_English.dta_.zip,https://www.arabbarometer.org/wp-content/uploads/ABII_Questionnaire_English-1.pdf,
126,arabb3,,country,,,,NA,date,,wt,misc,arabb,arabb3,,https://www.arabbarometer.org/wp-content/uploads/ABIII_English.dta_.zip,https://www.arabbarometer.org/wp-content/uploads/ABIII_Questionnaire_ENG.pdf,
127,arabb4,,country,,,,2016,,,wt,misc,arabb,arabb4,,https://www.arabbarometer.org/wp-content/uploads/ABIV_English.dta_.zip,https://www.arabbarometer.org/wp-content/uploads/ABIV_Questionnaire_ENG.pdf,
128,arabb5,,country,,,,NA,,"tibble(orig=c(""""Algeria"""",""""Egypt"""",""""Iraq"""",""""Jordan"""",""""Kuwait"""",""""Lebanon"""",""""Libya"""",""""Morocco"""",""""Palestine"""",""""Sudan"""",""""Tunisia"""",""""Yemen""""), year=c(2019,2018,2019,2018,2019,2018,2019,2018,2018,2018,2018,2018))",wt,misc,arabb,arabb5,,https://www.arabbarometer.org/wp-content/uploads/ABV_Crossectional_Data_Release_ENG.dta_.zip,https://www.arabbarometer.org/wp-content/uploads/ABV_SourceQuestionnaire_ENG_Public-Opinion-2018-2019.pdf,
129,arkolsky198905,,Argentina,,,,1989,,,,roper,arkolsky,ARKOLSKY1989-SIST12,,,,"list(file = file_path, var_names = c(""""p28""""), var_cards = c(4), var_positions = c(7), var_widths = c(1), total_cards = 4)"
130,arromer199111,,Argentina,,,,1991,,,,roper,arromer,ARROMER1991-TOP008,,,,
131,arromer199207,,Argentina,,,,1992,,,,roper,arromer,ARROMER1992-TOP012,,,,
132,arromer199408,,Argentina,,,,1994,,,,roper,arromer,ARROMER1994-TOP024,,,,
133,arromer199603,,Argentina,,,,1996,,,,roper,arromer,ARROMER1996-TOP034,,,,
134,ases2000,,v0362,,,,2000,,,,icpsr,ases,ICPSR_22324,,,,
135,asiab2003,,country,,,,2003,,,,misc,asiab,asiabarometer2003,,,,
