survey,cy_var,country_var,cc_origin,cc_dict,cc_match,year,year_var,year_dict,wt,archive,surv_program,file_id,subfile,data_link,cb_link,read_ascii_args,link,citation
abcwapo198105,,United States,,,,1981,,,weight,roper,abcwapo,USABCWASH1981-8846,,,,"list(file = file_path, var_names = c(""q45"", ""weight""), var_cards = c(2, 3), var_positions = c(15, 25), var_widths = c(1, 6), total_cards = 3)",,
abcwapo199406,,United States,,,,1994,,,weight,roper,abcwapo,USABCWASH1994-5294,,,,,,
abcwapo199507,,United States,,,,1995,,,wght,roper,abcwapo,USABCWASH1995-5729,,,,,,
abcwapo199509,,United States,,,,1995,,,wgt,roper,abcwapo,USABC1995-5796,,,,,,
abcwapo199510,,United States,,,,1995,,,wght,roper,abcwapo,USABCWASH1995-5800,,,,,,
abcwapo199607,,United States,,,,1996,,,weight,roper,abcwapo,USABCWASH1996-6143,,,,,,
abcwapo199608,,United States,,,,1996,,,weight,roper,abcwapo,USABCWASH1996-6171,,,,,,
abcwapo199903,,United States,,,,1999,,,weights,roper,abcwapo,USABCWASH1999-10556,,,,,,
abcwapo199908,,United States,,,,1999,,,weight,roper,abcwapo,USABCWASH1999-11350,,,,,,
abcwapo200007,,United States,,,,2000,,,weight,roper,abcwapo,USABCWASH2000-14376,,,,,,
abcwapo200009,,United States,,,,2000,,,weight,roper,abcwapo,USABC2000-15056,,,,,,
abcwapo200101,,United States,,,,2001,,,weight,roper,abcwapo,USABCWASH2001-16647,,,,,,
abcwapo200301,,United States,,,,2003,,,weight,roper,abcwapo,USABCWASH2003-909,,,,,,
abcwapo200401,,United States,,,,2004,,,weight,roper,abcwapo,USABCWASH2004-945,,,,,,
abcwapo200403,,United States,,,,2004,,,weight,roper,abcwapo,USABCWASH2004-951,,,,,,
abcwapo200405,,United States,,,,2004,,,weight,roper,abcwapo,USABCWASH2004-955,,,,,,
abcwapo200412,,United States,,,,2004,,,weight,roper,abcwapo,USABCWASH2004-971,,,,,,
abcwapo200505,,United States,,,,2005,,,oswgt,roper,abcwapo,USABCWASH2005-980,,,,,,
abcwapo200508,,United States,,,,2005,,,weight,roper,abcwapo,USABCWASH2005-989,,,,,,
abcwapo200512,,United States,,,,2005,,,weight,roper,abcwapo,USABCWASH2005-1001,,,,,,
abcwapo200702,,United States,,,,2007,,,weight,roper,abcwapo,USABCWASH2007-1031,,,,,,
abcwapo200707,,United States,,,,2007,,,weight,roper,abcwapo,USABCWASH2007-1041,,,,,,
abcwapo200711,,United States,,,,2007,,,weight,roper,abcwapo,USABCWASH2007-1050,,,,,,
abcwapo200712,,United States,,,,2007,,,weight,roper,abcwapo,USABCWASH2007-1054,,,,,,
abcwapo200801,,United States,,,,2008,,,weight,roper,abcwapo,USABCWASH2008-1057,,,,,,
abcwapo200806,,United States,,,,2008,,,weight,roper,abcwapo,USABCWASH2008-1065,,,,,,
abcwapo200808,,United States,,,,2008,,,finalwt,roper,abcwapo,USABCWASH2008-1068,,,,,,
abcwapo200905,,United States,,,,2009,,,weight,roper,abcwapo,USABCWASH2009-1089,,,,,,
abcwapo200906,,United States,,,,2009,,,weight,roper,abcwapo,USABCWASH2009-1091,,,,,,
abcwapo201002,,United States,,,,2010,,,weight,roper,abcwapo,USABCWASH2010-1102,,,,,,
abcwapo201103,,United States,,,,2011,,,weight,roper,abcwapo,USABCWASH2011-1121,,,,,,
abcwapo201107,,United States,,,,2011,,,weight,roper,abcwapo,USABCWASH2011-1125,,,,,,
abcwapo201201,,United States,,,,2012,,,weight,roper,abcwapo,USABCWASH2012-1133,,,,,,
abcwapo201203,,United States,,,,2012,,,weight,roper,abcwapo,USABCWASH2012-1135,,,,,,
abcwapo201303,,United States,,,,2013,,,weight,roper,abcwapo,USABCWASH2013-1147,,,,,,
abcwapo201307,,United States,,,,2013,,,weight,roper,abcwapo,USABCWASH2013-1150,,,,,,
abcwapo201402,,United States,,,,2014,,,weight,roper,abcwapo,USABCWASH2014-1159,,,,,,
abcwapo201405,,United States,,,,2014,,,weight,roper,abcwapo,USABCWASH2014-1161,,,,,,
aes1987,,Australia,,,,1987,,,,dataverse,aes,aes1987,,https://dataverse.ada.edu.au/dataset.xhtml?persistentId=doi:10.4225/87/PQFNYM,,,,"McAllister, Ian; Mughan, Anthony, 2017, ``Australian Election Study, 1987"", doi:10.4225/87/PQFNYM, ADA Dataverse, V1, UNF:6:VESCaglPchz+yLi+GnhN6Q=="
aes1990,,Australia,,,,1990,,,,dataverse,aes,aes1990,,https://dataverse.ada.edu.au/dataset.xhtml?persistentId=doi:10.4225/87/KPVA0F,,,,"McAllister, Ian; Jones, Roger; Papadakis, Elim; Gow, David, 2017, ``Australian Election Study, 1990"", doi:10.4225/87/KPVA0F, ADA Dataverse, V1, UNF:6:XREWxMZShlKA3k525fB+Bg=="
aes1993,,Australia,,,,1993,,,weight,dataverse,aes,aes1993,,https://dataverse.ada.edu.au/dataset.xhtml?persistentId=doi:10.4225/87/ZZ3NOB,,,,"Jones, Roger; McAllister, Ian; Denemark, David; Gow, David, 2017, ``Australian Election Study, 1993"", doi:10.4225/87/ZZ3NOB, ADA Dataverse, V1, UNF:6:3C/DZ94Ci0V2mfL02PVpXw=="
aes1996,,Australia,,,,1996,,,,dataverse,aes,aes1996,,https://dataverse.ada.edu.au/dataset.xhtml?persistentId=doi:10.4225/87/NSDHWM,,,,"Jones, Roger; McAllister, Ian; Gow, David, 2017, ``Australian Election Study, 1996"", doi:10.4225/87/NSDHWM, ADA Dataverse, V1, UNF:6:V05mNiOGYLZnBaihME2SIA=="
