,survey,cy_var,country_var,cc_origin,cc_dict,cc_match,year,year_var,year_dict,wt,archive,surv_program,file_id,subfile,data_link,cb_link,read_ascii_args,link
1,abcwapo198105,NA,United States,NA,NA,NA,1981,NA,NA,weight,roper,abcwapo,USABCWASH1981-8846,NA,NA,NA,"list(file = file_path, var_names = c(""q45"", ""weight""), var_cards = c(2, 3), var_positions = c(15, 25), var_widths = c(1, 6), total_cards = 3)",NA
2,abcwapo199406,NA,United States,NA,NA,NA,1994,NA,NA,weight,roper,abcwapo,USABCWASH1994-5294,NA,NA,NA,NA,NA
3,abcwapo199507,NA,United States,NA,NA,NA,1995,NA,NA,wght,roper,abcwapo,USABCWASH1995-5729,NA,NA,NA,NA,NA
4,abcwapo199509,NA,United States,NA,NA,NA,1995,NA,NA,wgt,roper,abcwapo,USABC1995-5796,NA,NA,NA,NA,NA
5,abcwapo199510,NA,United States,NA,NA,NA,1995,NA,NA,wght,roper,abcwapo,USABCWASH1995-5800,NA,NA,NA,NA,NA
6,abcwapo199607,NA,United States,NA,NA,NA,1996,NA,NA,weight,roper,abcwapo,USABCWASH1996-6143,NA,NA,NA,NA,NA
7,abcwapo199608,NA,United States,NA,NA,NA,1996,NA,NA,weight,roper,abcwapo,USABCWASH1996-6171,NA,NA,NA,NA,NA
8,abcwapo199903,NA,United States,NA,NA,NA,1999,NA,NA,weights,roper,abcwapo,USABCWASH1999-10556,NA,NA,NA,NA,NA
9,abcwapo199908,NA,United States,NA,NA,NA,1999,NA,NA,weight,roper,abcwapo,USABCWASH1999-11350,NA,NA,NA,NA,NA
10,abcwapo200007,NA,United States,NA,NA,NA,2000,NA,NA,weight,roper,abcwapo,USABCWASH2000-14376,NA,NA,NA,NA,NA
11,abcwapo200009,NA,United States,NA,NA,NA,2000,NA,NA,weight,roper,abcwapo,USABC2000-15056,NA,NA,NA,NA,NA
12,abcwapo200101,NA,United States,NA,NA,NA,2001,NA,NA,weight,roper,abcwapo,USABCWASH2001-16647,NA,NA,NA,NA,NA
13,abcwapo200301,NA,United States,NA,NA,NA,2003,NA,NA,weight,roper,abcwapo,USABCWASH2003-909,NA,NA,NA,NA,NA
14,abcwapo200401,NA,United States,NA,NA,NA,2004,NA,NA,weight,roper,abcwapo,USABCWASH2004-945,NA,NA,NA,NA,NA
15,abcwapo200403,NA,United States,NA,NA,NA,2004,NA,NA,weight,roper,abcwapo,USABCWASH2004-951,NA,NA,NA,NA,NA
16,abcwapo200405,NA,United States,NA,NA,NA,2004,NA,NA,weight,roper,abcwapo,USABCWASH2004-955,NA,NA,NA,NA,NA
17,abcwapo200412,NA,United States,NA,NA,NA,2004,NA,NA,weight,roper,abcwapo,USABCWASH2004-971,NA,NA,NA,NA,NA
18,abcwapo200505,NA,United States,NA,NA,NA,2005,NA,NA,oswgt,roper,abcwapo,USABCWASH2005-980,NA,NA,NA,NA,NA
19,abcwapo200508,NA,United States,NA,NA,NA,2005,NA,NA,weight,roper,abcwapo,USABCWASH2005-989,NA,NA,NA,NA,NA
20,abcwapo200512,NA,United States,NA,NA,NA,2005,NA,NA,weight,roper,abcwapo,USABCWASH2005-1001,NA,NA,NA,NA,NA
21,abcwapo200702,NA,United States,NA,NA,NA,2007,NA,NA,weight,roper,abcwapo,USABCWASH2007-1031,NA,NA,NA,NA,NA
22,abcwapo200707,NA,United States,NA,NA,NA,2007,NA,NA,weight,roper,abcwapo,USABCWASH2007-1041,NA,NA,NA,NA,NA
23,abcwapo200711,NA,United States,NA,NA,NA,2007,NA,NA,weight,roper,abcwapo,USABCWASH2007-1050,NA,NA,NA,NA,NA
24,abcwapo200712,NA,United States,NA,NA,NA,2007,NA,NA,weight,roper,abcwapo,USABCWASH2007-1054,NA,NA,NA,NA,NA
25,abcwapo200801,NA,United States,NA,NA,NA,2008,NA,NA,weight,roper,abcwapo,USABCWASH2008-1057,NA,NA,NA,NA,NA
26,abcwapo200806,NA,United States,NA,NA,NA,2008,NA,NA,weight,roper,abcwapo,USABCWASH2008-1065,NA,NA,NA,NA,NA
27,abcwapo200808,NA,United States,NA,NA,NA,2008,NA,NA,finalwt,roper,abcwapo,USABCWASH2008-1068,NA,NA,NA,NA,NA
28,abcwapo200905,NA,United States,NA,NA,NA,2009,NA,NA,weight,roper,abcwapo,USABCWASH2009-1089,NA,NA,NA,NA,NA
29,abcwapo200906,NA,United States,NA,NA,NA,2009,NA,NA,weight,roper,abcwapo,USABCWASH2009-1091,NA,NA,NA,NA,NA
30,abcwapo201002,NA,United States,NA,NA,NA,2010,NA,NA,weight,roper,abcwapo,USABCWASH2010-1102,NA,NA,NA,NA,NA
31,abcwapo201103,NA,United States,NA,NA,NA,2011,NA,NA,weight,roper,abcwapo,USABCWASH2011-1121,NA,NA,NA,NA,NA
32,abcwapo201107,NA,United States,NA,NA,NA,2011,NA,NA,weight,roper,abcwapo,USABCWASH2011-1125,NA,NA,NA,NA,NA
33,abcwapo201201,NA,United States,NA,NA,NA,2012,NA,NA,weight,roper,abcwapo,USABCWASH2012-1133,NA,NA,NA,NA,NA
34,abcwapo201203,NA,United States,NA,NA,NA,2012,NA,NA,weight,roper,abcwapo,USABCWASH2012-1135,NA,NA,NA,NA,NA
35,abcwapo201303,NA,United States,NA,NA,NA,2013,NA,NA,weight,roper,abcwapo,USABCWASH2013-1147,NA,NA,NA,NA,NA
36,abcwapo201307,NA,United States,NA,NA,NA,2013,NA,NA,weight,roper,abcwapo,USABCWASH2013-1150,NA,NA,NA,NA,NA
37,abcwapo201402,NA,United States,NA,NA,NA,2014,NA,NA,weight,roper,abcwapo,USABCWASH2014-1159,NA,NA,NA,NA,NA
38,abcwapo201405,NA,United States,NA,NA,NA,2014,NA,NA,weight,roper,abcwapo,USABCWASH2014-1161,NA,NA,NA,NA,NA
39,aes1987,NA,Australia,NA,NA,NA,1987,NA,NA,NA,dataverse,aes,aes1987,NA,https://dataverse.ada.edu.au/dataset.xhtml?persistentId=doi:10.4225/87/PQFNYM,NA,NA,NA
40,aes1990,NA,Australia,NA,NA,NA,1990,NA,NA,NA,dataverse,aes,aes1990,NA,https://dataverse.ada.edu.au/dataset.xhtml?persistentId=doi:10.4225/87/KPVA0F,NA,NA,NA
41,aes1993,NA,Australia,NA,NA,NA,1993,NA,NA,weight,dataverse,aes,aes1993,NA,https://dataverse.ada.edu.au/dataset.xhtml?persistentId=doi:10.4225/87/ZZ3NOB,NA,NA,NA
42,aes1996,NA,Australia,NA,NA,NA,1996,NA,NA,NA,dataverse,aes,aes1996,NA,https://dataverse.ada.edu.au/dataset.xhtml?persistentId=doi:10.4225/87/NSDHWM,NA,NA,NA
43,aes1998,NA,Australia,NA,NA,NA,1998,NA,NA,NA,dataverse,aes,aes1998,NA,https://dataverse.ada.edu.au/dataset.xhtml?persistentId=doi:10.4225/87/FFBWUU,NA,NA,NA
44,aes2001,NA,Australia,NA,NA,NA,2001,NA,NA,NA,dataverse,aes,aes2001,NA,https://dataverse.ada.edu.au/dataset.xhtml?persistentId=doi:10.4225/87/CALXMK,NA,NA,NA
45,aes2004,NA,Australia,NA,NA,NA,2004,NA,NA,NA,dataverse,aes,aes2004,NA,https://dataverse.ada.edu.au/dataset.xhtml?persistentId=doi:10.4225/87/G9ITIO,NA,NA,NA
46,aes2007,NA,Australia,NA,NA,NA,2007,NA,NA,NA,dataverse,aes,aes2007,NA,https://dataverse.ada.edu.au/dataset.xhtml?persistentId=doi:10.4225/87/ZBUOW0,NA,NA,NA
47,aes2010,NA,Australia,NA,NA,NA,2010,NA,NA,weight2,dataverse,aes,aes2010,NA,https://dataverse.ada.edu.au/dataset.xhtml?persistentId=doi:10.4225/87/CYJNSM,NA,NA,NA
48,aes2013,NA,Australia,NA,NA,NA,2013,NA,NA,weight,dataverse,aes,aes2013,NA,https://dataverse.ada.edu.au/dataset.xhtml?persistentId=doi:10.4225/87/WDBBAS,NA,NA,NA
49,aes2016,NA,Australia,NA,NA,NA,2016,NA,NA,wt_enrol,dataverse,aes,aes2016,NA,https://dataverse.ada.edu.au/dataset.xhtml?persistentId=doi:10.4225/87/7OZCZA,NA,NA,NA
50,aes2019,NA,Australia,NA,NA,NA,2019,NA,NA,wt_pooled,dataverse,aes,aes2019,NA,https://dataverse.ada.edu.au/dataset.xhtml?persistentId=doi:10.26193/KMAMMW,NA,NA,NA
51,afrob1,NA,country,NA,NA,NA,NA,NA,"tibble(orig=c(""Botswana"",""Ghana"",""Lesotho"",""Malawi"",""Mali"",""Namibia"",""Nigeria"",""South Africa"",""Tanzania"",""Uganda"",""Zambia"",""Zimbabwe""),year=c(1999,1999,2000,1999,2001,1999,2000,2000,2001,2000,2000,1999))",withinwt,misc,afrob,afrob1,NA,https://afrobarometer.org/sites/default/files/data/round-1/merged_r1_data.sav,https://afrobarometer.org/sites/default/files/data/round-1/merged_r1_codebook2.pdf,NA,NA
52,afrob2,NA,country,NA,NA,NA,NA,dateintr,NA,withinwt,misc,afrob,afrob2,NA,https://afrobarometer.org/sites/default/files/data/round-2/merged_r2_data.sav,https://afrobarometer.org/sites/default/files/data/round-2/merged_r2_codebook2.pdf,NA,NA
53,afrob3,NA,country,NA,NA,NA,NA,dateintr,NA,withinwt,misc,afrob,afrob3,NA,https://afrobarometer.org/sites/default/files/data/round-3/merged_r3_data.sav,https://afrobarometer.org/sites/default/files/data/round-3/merged_r3_codebook2_0.pdf,NA,NA
54,afrob4,NA,country,NA,NA,NA,NA,dateintr,NA,withinwt,misc,afrob,afrob4,NA,https://afrobarometer.org/sites/default/files/data/round-4/merged_r4_data.sav,https://afrobarometer.org/sites/default/files/data/round-4/merged_r4_codebook3.pdf,NA,NA
55,afrob5,NA,country,NA,NA,NA,NA,dateintr,NA,withinwt,misc,afrob,afrob5,NA,http://afrobarometer.org/sites/default/files/data/round-5/merged-round-5-data-34-countries-2011-2013-last-update-july-2015.sav,http://afrobarometer.org/sites/default/files/data/round-5/merged_r5_codebook_2.pdf,NA,NA
56,afrob6,NA,country,NA,NA,NA,NA,dateintr,NA,withinwt,misc,afrob,afrob6,NA,http://afrobarometer.org/sites/default/files/data/round-6/merged_r6_data_2016_36countries2.sav,http://afrobarometer.org/sites/default/files/data/round-6/merged_round_6_codebook_2016_repost042018.pdf,NA,NA
57,afrob7,NA,country,NA,NA,NA,NA,dateintr,NA,withinwt,misc,afrob,afrob7,NA,http://afrobarometer.org/sites/default/files/data/round-7/r7_merged_data_34ctry.release.sav,NA,NA,NA
58,allbus,NA,Germany,NA,NA,NA,NA,year,NA,wghtptew,gesis,allbus,ZA5276,NA,NA,NA,NA,NA
59,amb_antigua2016,NA,Antigua,NA,NA,NA,2016,NA,NA,wt,misc,amb,amb_antigua2016,NA,http://datasets.americasbarometer.org/database/files/2123276248Antigua%20LAPOP%20AmericasBarometer%202016%20V1.0_W.dta,NA,NA,NA
60,amb_argentina2010,NA,Argentina,NA,NA,NA,2010,NA,NA,NA,misc,amb,amb_argentina2010,NA,http://datasets.americasbarometer.org/database/files/924077670Argentina_LAPOP_AmericasBarometer%202010%20data%20set%20approved%20v3.dta,NA,NA,NA
61,amb_argentina2012,NA,Argentina,NA,NA,NA,2012,NA,NA,wt,misc,amb,amb_argentina2012,NA,http://datasets.americasbarometer.org/database/files/1240357522Argentina%20LAPOP%20AmericasBarometer%202012%20Rev1_W.dta,NA,NA,NA
62,amb_argentina2014,NA,Argentina,NA,NA,NA,2014,NA,NA,wt,misc,amb,amb_argentina2014,NA,http://datasets.americasbarometer.org/database/files/1757856948Argentina%20LAPOP%20AmericasBarometer%202014%20v3.0_W.dta,NA,NA,NA
63,amb_argentina2016,NA,Argentina,NA,NA,NA,2017,NA,NA,wt,misc,amb,amb_argentina2016,NA,http://datasets.americasbarometer.org/database/files/42076439Argentina%20LAPOP%20AmericasBarometer%202017%20V1.0_W.dta,NA,NA,NA
64,amb_argentina2018,NA,Argentina,NA,NA,NA,2019,NA,NA,wt,misc,amb,amb_argentina2018,NA,http://datasets.americasbarometer.org/database/files/Argentina%20LAPOP%20AmericasBarometer%202019%20v1.0_W.dta,http://datasets.americasbarometer.org/database/files/Argentina%20LAPOP%20AmericasBarometer%202019_Codebook_v1.0_W.pdf,NA,NA
65,amb_argentina2021,NA,Argentina,NA,NA,NA,2021,NA,NA,wt,misc,amb,amb_argentina2021,NA,http://datasets.americasbarometer.org/database/files/Argentina%20LAPOP%20AmericasBarometer%202021%20v1.0_W.dta,http://datasets.americasbarometer.org/database/files/ABArg2021-Argentina-Questionnaire-v15.0.5.0-Spa-210129-W.pdf,NA,NA
66,amb_bolivia2010,NA,Bolivia,NA,NA,NA,2010,NA,NA,wt,misc,amb,amb_bolivia2010,NA,http://datasets.americasbarometer.org/database/files/1748144313Bolivia_LAPOP_AmericasBarometer%202010%20data%20set%20%20approved%20v3.dta,NA,NA,NA
67,amb_bolivia2012,NA,Bolivia,NA,NA,NA,2012,NA,NA,wt,misc,amb,amb_bolivia2012,NA,http://datasets.americasbarometer.org/database/files/1852710534Bolivia%20LAPOP%20AmericasBarometer%202012%20Rev1_W.dta,NA,NA,NA
68,amb_bolivia2014,NA,Bolivia,NA,NA,NA,2014,NA,NA,wt,misc,amb,amb_bolivia2014,NA,http://datasets.americasbarometer.org/database/files/1140434363Bolivia%20LAPOP%20AmericasBarometer%202014%20v3.0_W.dta,NA,NA,NA
69,amb_bolivia2016,NA,Bolivia,NA,NA,NA,2017,NA,NA,wt,misc,amb,amb_bolivia2016,NA,http://datasets.americasbarometer.org/database/files/142790203Bolivia%20LAPOP%20AmericasBarometer%202017%20V1.0_W.dta,NA,NA,NA
70,amb_bolivia2018,NA,Bolivia,NA,NA,NA,2019,NA,NA,wt,misc,amb,amb_bolivia2018,NA,http://datasets.americasbarometer.org/database/files/Bolivia%20LAPOP%20AmericasBarometer%202019%20v1.0_W.dta,NA,NA,NA
