country,year,item,r,n,survey,cc_rank
Mexico,1995,threestate_12,1,183.98635938496818,lb1995,279
Mexico,1995,threestate_12,2,262.5535074466573,lb1995,279
Mexico,1995,threestate_12,3,590.745391754979,lb1995,279
Mexico,1996,army_43,1,80.0664575550418,wvs_combo,279
Mexico,1996,army_43,2,262.21764849276184,wvs_combo,279
Mexico,1996,army_43,3,559.4643721658545,wvs_combo,279
Mexico,1996,army_43,4,401.33311849464695,wvs_combo,279
Mexico,1996,church_21,1,33.02741374145474,wvs_combo,279
Mexico,1996,church_21,2,261.21681777332384,wvs_combo,279
Mexico,1996,church_21,3,707.5873186426818,wvs_combo,279
Mexico,1996,church_21,4,279.23177072320823,wvs_combo,279
Mexico,1996,evdemoc_4,1,57.04735100796727,wvs_combo,279
Mexico,1996,evdemoc_4,2,218.18109683748887,wvs_combo,279
Mexico,1996,evdemoc_4,3,653.5424597930286,wvs_combo,279
Mexico,1996,evdemoc_4,4,401.33311849464695,wvs_combo,279
Mexico,1996,strong_35,1,157.1304229517695,wvs_combo,279
Mexico,1996,strong_35,2,427.35471720003557,wvs_combo,279
Mexico,1996,strong_35,3,504.4186825967633,wvs_combo,279
Mexico,1996,strong_35,4,198.16448244872842,wvs_combo,279
Mexico,1996,threestate_12,1,357.9999503528371,lb1996,279
Mexico,1996,threestate_12,2,260.99996380472203,lb1996,279
Mexico,1996,threestate_12,3,810.9998875311477,lb1996,279
Mexico,1997,threestate_12,1,338.99526406116223,lb1997,279
Mexico,1997,threestate_12,2,169.9976250454206,lb1997,279
Mexico,1997,threestate_12,3,570.9920229466774,lb1997,279
Mexico,1998,threestate_12,1,338.01666007732484,lb1998,279
Mexico,1998,threestate_12,2,229.01128744883843,lb1998,279
Mexico,1998,threestate_12,3,608.0299684231169,lb1998,279
Mexico,2000,army_43,1,83.41155953354314,wvs_combo,279
Mexico,2000,army_43,2,358.5029883236406,wvs_combo,279
Mexico,2000,army_43,3,500.35552537358376,wvs_combo,279
Mexico,2000,army_43,4,308.68898868247146,wvs_combo,279
Mexico,2000,church_21,1,63.5434109136164,wvs_combo,279
Mexico,2000,church_21,2,180.46223250994927,wvs_combo,279
Mexico,2000,church_21,3,635.0873614303889,wvs_combo,279
Mexico,2000,church_21,4,321.50875537635454,wvs_combo,279
Mexico,2000,evdemoc_4,1,35.80420047730557,wvs_combo,279
Mexico,2000,evdemoc_4,2,140.3028283258802,wvs_combo,279
Mexico,2000,evdemoc_4,3,733.1543395088952,wvs_combo,279
Mexico,2000,evdemoc_4,4,350.9504940178929,wvs_combo,279
Mexico,2000,strong_35,1,155.93031209670409,wvs_combo,279
Mexico,2000,strong_35,2,528.0647375376501,wvs_combo,279
Mexico,2000,strong_35,3,358.0194808178014,wvs_combo,279
Mexico,2000,strong_35,4,175.73694910788714,wvs_combo,279
Mexico,2000,threestate_12,1,399.06842911588103,lb2000,279
Mexico,2000,threestate_12,2,221.03790184112708,lb2000,279
Mexico,2000,threestate_12,3,525.0900383103698,lb2000,279
Mexico,2001,threestate_12,1,444.5608629235817,lb2001,279
Mexico,2001,threestate_12,2,178.4565854970115,lb2001,279
Mexico,2001,threestate_12,3,581.9181656522708,lb2001,279
Mexico,2002,church_21,1,75.0298912426284,lb2002,279
Mexico,2002,church_21,2,243.85796398808563,lb2002,279
Mexico,2002,church_21,3,606.9465720716476,lb2002,279
Mexico,2002,church_21,4,255.23536727465537,lb2002,279
Mexico,2002,impdemoc_81,1,19.77535630424802,pew2002,279
Mexico,2002,impdemoc_81,2,51.3938277349896,pew2002,279
Mexico,2002,impdemoc_81,3,246.98001976212015,pew2002,279
Mexico,2002,impdemoc_81,4,664.8542459066766,pew2002,279
Mexico,2002,strong_36,1,231.06149723301303,pew2002,279
Mexico,2002,strong_36,2,720.4235212445768,pew2002,279
Mexico,2002,threestate_12,1,242.46100344758918,lb2002,279
Mexico,2002,threestate_12,2,165.4974030480226,lb2002,279
Mexico,2002,threestate_12,3,767.0797114049054,lb2002,279
Mexico,2003,church_21,1,518.8879306337047,"cses2, lb2003",279
Mexico,2003,church_21,2,2474.5335165257147,"cses2, lb2003",279
Mexico,2003,church_21,3,7308.779154854251,"cses2, lb2003",279
Mexico,2003,church_21,4,2244.200608688295,"cses2, lb2003",279
Mexico,2003,threestate_12,1,166.27710236948118,lb2003,279
Mexico,2003,threestate_12,2,358.5084910005722,lb2003,279
Mexico,2003,threestate_12,3,639.6486442458906,lb2003,279
Mexico,2004,church_21,1,46.089594444654175,lb2004,279
Mexico,2004,church_21,2,173.62826298278242,lb2004,279
Mexico,2004,church_21,3,697.3867762264588,lb2004,279
Mexico,2004,church_21,4,244.67171387309213,lb2004,279
Mexico,2004,church_22,1,49.01781901787525,amb_combo,279
Mexico,2004,church_22,2,51.018546324727296,amb_combo,279
Mexico,2004,church_22,3,113.04109283714087,amb_combo,279
Mexico,2004,church_22,4,219.07964010029957,amb_combo,279
Mexico,2004,church_22,5,305.11091429493774,amb_combo,279
Mexico,2004,church_22,6,365.1327335004993,amb_combo,279
Mexico,2004,church_22,7,349.1269150456829,amb_combo,279
